QSO z_abs EW_r EW_r_e logN logN_l logN_u
J000149-015940 2.0940828 0.684 0.009 14.6 0.0 1.0
J000149-015940 2.0107318 0.082 0.002 13.438 0.088 0.102
J000149-015940 2.1537047 1.083 0.008 14.843 0.023 0.036
J000149-015940 2.2281858 0.041 0.003 13.117 0.106 0.145
J000149-015940 2.6365149 0.049 0.004 13.137 0.068 0.103
J000149-015940 2.2056864 0.066 0.003 13.369 0.098 0.122
J000149-015940 2.3897223 0.047 0.003 13.119 0.066 0.102
J000322-260316 3.5365185 0.18 0.006 13.734 0.03 0.037
J000322-260316 3.5578862 0.076 0.013 13.286 0.019 0.05
J000322-260316 3.3902566 0.622 0.004 14.545 0.027 0.034
J000322-260316 3.3362648 0.011 0.001 12.468 0.061 0.098
J000322-260316 3.5943757 0.133 0.007 13.55 0.025 0.033
J000322-260316 3.1616459 0.108 0.009 13.459 0.024 0.036
J000520+052410 1.8013611 0.028 0.002 12.88 0.06 0.074
J000520+052410 1.3042216 0.112 0.002 13.615 0.067 0.073
J000520+052410 1.4989819 0.028 0.001 12.891 0.066 0.082
J000520+052410 1.7444267 0.385 0.005 14.185 0.035 0.038
J000520+052410 1.7267892 0.032 0.002 12.917 0.044 0.059
J000520+052410 1.4363541 0.142 0.003 13.648 0.045 0.05
J000520+052410 1.7778418 0.03 0.002 12.894 0.048 0.062
J000520+052410 1.4714544 0.018 0.002 12.666 0.054 0.084
J000520+052410 1.3861359 0.017 0.002 12.616 0.066 0.096
J000815-095854 1.6926496 0.046 0.004 13.096 0.049 0.07
J000815-095854 1.853336 0.024 0.002 12.817 0.069 0.098
J000815-095854 1.7947148 0.179 0.009 13.729 0.031 0.04
J000815-095854 1.7670991 1.102 0.008 14.778 0.0 1.0
J000931+021707 1.8913296 0.095 0.002 13.737 0.057 0.093
J000931+021707 2.1295397 0.043 0.005 13.08 0.044 0.085
J000931+021707 1.8183984 0.461 0.01 14.433 0.0 1.0
J000931+021707 2.0340675 1.015 0.006 14.87 0.0 1.0
J000931+021707 1.8544329 0.026 0.005 12.811 0.039 0.1
J001643-575056 1.3873525 1.297 0.02 14.811 0.0 1.0
J002110-242248 1.8068232 0.438 0.015 14.379 0.0 1.0
J002110-242248 1.7913963 0.516 0.012 14.398 0.0 1.0
J002110-242248 2.0164498 1.01 0.011 14.836 0.0 1.0
J002127-020333 2.35932 0.085 0.007 13.411 0.043 0.071
J002127-020333 2.3978281 0.043 0.004 13.112 0.055 0.097
J002127-020333 2.0624008 0.291 0.019 13.939 0.021 0.037
J002127-020333 2.2388245 0.205 0.008 13.905 0.041 0.057
J002127-020333 1.8861404 0.035 0.003 13.027 0.06 0.098
J002127-020333 2.5369976 0.182 0.013 13.745 0.028 0.048
J002207-150539 3.3948308 0.323 0.006 14.174 0.0 1.0
J002207-150539 3.3734681 0.21 0.015 13.778 0.022 0.032
J002207-150539 4.1141301 0.253 0.024 0.0 0.0 0.0
J002207-150539 4.0962534 0.109 0.009 13.53 0.028 0.056
J002207-150539 4.0707325 0.087 0.008 13.443 0.032 0.071
J002207-150539 3.7530808 0.253 0.03 13.866 0.02 0.038
J002207-150539 4.2440816 0.119 0.011 13.554 0.026 0.056
J002207-150539 3.9879032 0.018 0.004 12.639 0.036 0.095
J002830-281704 2.3146527 0.199 0.014 13.864 0.03 0.064
J002830-281704 1.6813502 0.113 0.009 13.512 0.027 0.055
